param_type,param_name,base,out_u_bound,in_l_bound,out_l_bound,in_u_bound
input,cp_tau_s,10,1,1.5147070975462793,0,3.2960066693136723
input,cp_b,10,1,-0.3160438777373872,0,1.287398589234254
input,cp_tau_0,10,1,0.5377183774285964,0,2.6962689967455327
input,cp_n,10,1,0.15651886474702734,0,1.2996815916623545
input,average_strain,10,1,-2.1074212618743022,0,-0.5445916847577142
output,average_stress,10,1,2.317958924700952,0,3.795163709638096
output,g59_phi_1,10,1,0.22688332839091682,0,0.2846337331645898
output,g59_Phi,10,1,0.3431327637012837,0,0.3648885445170529
output,g59_phi_2,10,1,0.6327710047017497,0,0.6500548398717483
output,g63_phi_1,10,1,0.2727232346138422,0,0.3343532083835173
output,g63_Phi,10,1,0.4402319362267888,0,0.4866712931924322
output,g63_phi_2,10,1,0.5758803156806459,0,0.6096797658453657
output,g86_phi_1,10,1,0.3125581495215206,0,0.32746110930314165
output,g86_Phi,10,1,0.252416090544274,0,0.2856023112856134
output,g86_phi_2,10,1,0.5568811743797555,0,0.5728832141971627
output,g237_phi_1,10,1,0.334011188761349,0,0.33725953975027567
output,g237_Phi,10,1,0.3385361733556591,0,0.3639502593966445
output,g237_phi_2,10,1,0.609647759078724,0,0.6230838133595474
output,g303_phi_1,10,1,0.40260524191991476,0,0.4187817331080547
output,g303_Phi,10,1,0.30085624311839365,0,0.3242618721330686
output,g303_phi_2,10,1,0.6489354357708089,0,0.6690936311702245
