time,mCS_xx,mEE_xx,mTE_xx
1,5.2555967820014,3.0157062075095e-05,3.0157063777606e-05
2.5,13.1386340638,7.5390605613459e-05,7.5390613697012e-05
4.75,24.962384835189,0.00014323630990805,0.00014323633616339
8.125,42.696199699378,0.0002449944933549,0.00024499456618383
13.1875,69.292843521482,0.0003976084108226,0.00039760862133845
20.78125,109.17792070453,0.0006264724694959,0.00062647732174722
32.171875,168.88160135745,0.00096903186336727,0.00096966257662226
49.2578125,250.56251446291,0.001435610020132,0.0014841751232138
74.88671875,315.37710688995,0.0017892264796887,0.0022553350186978
113.330078125,347.24878450698,0.0019415940629966,0.0034106955099107
170.9951171875,362.69521678745,0.0020006459070663,0.0051406490704522
257.49267578125,373.01852713446,0.0020339985765541,0.0077286464694438
387.23901367188,383.12328921214,0.0020702387149056,0.011595140915563
581.85852050781,395.81934542357,0.002124457087656,0.017360376170492
873.78778076172,413.53372236101,0.0022084440124796,0.025931665129916
1092.7347259521,426.60461474437,0.0022729755377012,0.032317619862052
1311.6816711426,439.44303654607,0.0023376085679882,0.03866153133926
1640.1020889282,458.21593357086,0.0024331422480845,0.048083834800706
1886.4174022675,472.30719889406,0.002505635344069,0.055098586719042
2132.7327156067,486.18131752882,0.0025771233601572,0.062061894880829
2502.2056856155,506.26976941907,0.0026805150020372,0.072391055511999
2749.7525755215,519.85329736145,0.0027509355304898,0.079259853651993
2935.4127429509,529.99657688179,0.0028035385262657,0.084382343595996
3059.8050551286,536.85194988808,0.0028392235655111,0.087801580547175
3246.3935233952,546.76945684107,0.0028903525068683,0.092900339116267
3386.3348745952,554.35659665464,0.0029297938514663,0.0967080021377
3480.0955798992,559.49101848277,0.0029566171581617,0.099252058338355
3620.7366378551,566.98761920955,0.002995498709974,0.10305178202237
3831.698224789,578.01936810628,0.0030525764398421,0.10871337881627
4148.1406051899,594.02365029751,0.0031351322502783,0.11711666056388
4360.1570000585,605.19353517622,0.0031936163797824,0.12271097825773
4572.1733949271,616.1766702869,0.0032509503626577,0.12826988421779
4890.1979872299,631.88431876389,0.0033322317309604,0.13652329805572
5208.2225795328,647.39883504277,0.0034125458611918,0.14469059969403
5367.2348756843,655.68847439796,0.0034562962345599,0.14875600780276
5473.7731141057,661.23382485105,0.0034855488960905,0.15147200676757
5633.5804717379,669.24614297807,0.0035273753154133,0.15552729795043
5873.2915081862,680.89655688581,0.0035878749076694,0.16156533367198
