time,timestep
1,1
2.5,2
4.75,3
8.125,4
13.1875,5
20.78125,6
32.171875,7
49.2578125,8
74.88671875,9
113.330078125,10
170.9951171875,11
257.49267578125,12
387.23901367188,13
581.85852050781,14
873.78778076172,15
1092.7347259521,16
1311.6816711426,17
1640.1020889282,18
1886.4174022675,19
2132.7327156067,20
2502.2056856155,21
2749.7525755215,22
2935.4127429509,23
3059.8050551286,24
3246.3935233952,25
3386.3348745952,26
3480.0955798992,27
3620.7366378551,28
3831.698224789,29
4148.1406051899,30
4360.1570000585,31
4572.1733949271,32
4890.1979872299,33
5208.2225795328,34
5367.2348756843,35
5473.7731141057,36
5633.5804717379,37
5873.2915081862,38
