param_type,param_name,out_l_bound,base,in_l_bound,in_u_bound,out_u_bound
input,cp_tau_s,0,10,2.448056710886212,3.596860890622566,1
input,cp_b,0,10,-1.9196621767524327,0.9769640690374759,1
input,cp_tau_0,0,10,1.3664603142843503,2.64848686499787,1
input,cp_n,0,10,0.19915157120508886,1.2689989585426735,1
input,average_strain,0,10,-2.103385609840991,-0.5430118227154347,1
output,average_stress,0,10,2.0388982121145323,3.8709537414576176,1
output,g39_phi_1,0,10,-0.22151591808268875,-0.1835730870754332,1
output,g39_Phi,0,10,0.2711210557041329,0.2791191687201238,1
output,g39_phi_2,0,10,0.4322154325184636,0.44698738213032396,1
output,g50_phi_1,0,10,0.16563006237618363,0.2986784505601873,1
output,g50_Phi,0,10,0.3358589113198179,0.3451187650646136,1
output,g50_phi_2,0,10,0.5036681375456492,0.5146407109486933,1
output,g138_phi_1,0,10,-2.179220741771544,-0.3311018062358651,1
output,g138_Phi,0,10,0.4222121710342237,0.4301557119700192,1
output,g138_phi_2,0,10,0.31152076244804877,0.36066913398770606,1
output,g164_phi_1,0,10,-0.7319371221773164,-0.4813676323210142,1
output,g164_Phi,0,10,0.36133112513853355,0.3820891186653007,1
output,g164_phi_2,0,10,0.5280420916550654,0.5375924475173411,1
output,g185_phi_1,0,10,-0.3502660853604067,-0.12239832027072804,1
output,g185_Phi,0,10,0.36323580448369375,0.38913063030664075,1
output,g185_phi_2,0,10,0.43359384102146686,0.45995007743384064,1
output,g223_phi_1,0,10,0.6228458296003306,0.6696329542231636,1
output,g223_Phi,0,10,0.45374630677038985,0.4755840301848114,1
output,g223_phi_2,0,10,-2.3605533560896603,0.7974960567433306,1
output,g243_phi_1,0,10,0.37432667414956017,0.3903344475118518,1
output,g243_Phi,0,10,0.3447458537251875,0.35324283143372925,1
output,g243_phi_2,0,10,0.5730689639316218,0.5816425073379909,1
output,g238_phi_1,0,10,-0.11982116989518035,-0.08719360733870764,1
output,g238_Phi,0,10,0.2793703181791082,0.3064464736622397,1
output,g238_phi_2,0,10,0.5274623365537467,0.5370757527751402,1
